Z,ΔZ,ΔZ_⬓,Znode,ΔZ_Aver,ΔZ_W,Z_CellUp
390.0,10.0,5.0,385.0,10.0,0.5,380.0
400.0,10.0,5.0,395.0,10.0,0.5,390.0
410.0,10.0,5.0,405.0,10.0,0.5,400.0
420.0,10.0,5.0,415.0,10.0,0.5,410.0
430.0,10.0,5.0,425.0,10.0,0.5,420.0
440.0,10.0,5.0,435.0,10.0,0.5,430.0
450.0,10.0,5.0,445.0,10.0,0.5,440.0
460.0,10.0,5.0,455.0,10.0,0.5,450.0
470.0,10.0,5.0,465.0,10.0,0.5,460.0
480.0,10.0,5.0,475.0,10.0,0.5,470.0
490.0,10.0,5.0,485.0,10.0,0.5,480.0
500.0,10.0,5.0,495.0,10.0,0.5,490.0
510.0,10.0,5.0,505.0,10.0,0.5,500.0
520.0,10.0,5.0,515.0,10.0,0.5,510.0
530.0,10.0,5.0,525.0,10.0,0.5,520.0
540.0,10.0,5.0,535.0,10.0,0.5,530.0
550.0,10.0,5.0,545.0,10.0,0.5,540.0
560.0,10.0,5.0,555.0,10.0,0.5,550.0
570.0,10.0,5.0,565.0,10.0,0.5,560.0
580.0,10.0,5.0,575.0,10.0,0.5,570.0
590.0,10.0,5.0,585.0,10.0,0.5,580.0
600.0,10.0,5.0,595.0,10.0,0.5,590.0
610.0,10.0,5.0,605.0,10.0,0.5,600.0
620.0,10.0,5.0,615.0,10.0,0.5,610.0
630.0,10.0,5.0,625.0,10.0,0.5,620.0
640.0,10.0,5.0,635.0,10.0,0.5,630.0
650.0,10.0,5.0,645.0,10.0,0.5,640.0
660.0,10.0,5.0,655.0,10.0,0.5,650.0
670.0,10.0,5.0,665.0,10.0,0.5,660.0
680.0,10.0,5.0,675.0,10.0,0.5,670.0
690.0,10.0,5.0,685.0,10.0,0.5,680.0
700.0,10.0,5.0,695.0,10.0,0.5,690.0
710.0,10.0,5.0,705.0,10.0,0.5,700.0
720.0,10.0,5.0,715.0,10.0,0.5,710.0
730.0,10.0,5.0,725.0,10.0,0.5,720.0
740.0,10.0,5.0,735.0,10.0,0.5,730.0
750.0,10.0,5.0,745.0,10.0,0.5,740.0
760.0,10.0,5.0,755.0,10.0,0.5,750.0
770.0,10.0,5.0,765.0,10.0,0.5,760.0
780.0,10.0,5.0,775.0,10.0,0.5,770.0
790.0,10.0,5.0,785.0,10.0,0.5,780.0
800.0,10.0,5.0,795.0,10.0,0.5,790.0
810.0,10.0,5.0,805.0,10.0,0.5,800.0
820.0,10.0,5.0,815.0,10.0,0.5,810.0
830.0,10.0,5.0,825.0,10.0,0.5,820.0
840.0,10.0,5.0,835.0,10.0,0.5,830.0
850.0,10.0,5.0,845.0,10.0,0.5,840.0
860.0,10.0,5.0,855.0,10.0,0.5,850.0
870.0,10.0,5.0,865.0,10.0,0.5,860.0
880.0,10.0,5.0,875.0,10.0,0.5,870.0
890.0,10.0,5.0,885.0,10.0,0.5,880.0
900.0,10.0,5.0,895.0,10.0,0.5,890.0
910.0,10.0,5.0,905.0,10.0,0.5,900.0
920.0,10.0,5.0,915.0,10.0,0.5,910.0
930.0,10.0,5.0,925.0,10.0,0.5,920.0
940.0,10.0,5.0,935.0,10.0,0.5,930.0
950.0,10.0,5.0,945.0,10.0,0.5,940.0
960.0,10.0,5.0,955.0,10.0,0.5,950.0
970.0,10.0,5.0,965.0,10.0,0.5,960.0
980.0,10.0,5.0,975.0,10.0,0.5,970.0
990.0,10.0,5.0,985.0,10.0,0.5,980.0
1000.0,10.0,5.0,995.0,10.0,0.5,990.0
